"parameter","value","unit","source","collection_date"
"korea_corridor_total",484,"USD million/year","NLSS IV 2022/23","2026-06-23"
"saudi_corridor_total",1020,"USD million/year","NLSS IV 2022/23","2026-06-23"
"korea_informal_share_historical",0.8,"proportion","IOM Seoul / Kathmandu Post ~2017","2026-06-23"
"korea_informal_share_current_est",0.55,"proportion","Literature triangulation","2026-06-23"
"nrb_fx_reserves",19.5,"USD billion","NRB annual report mid-July 2025","2026-06-23"
"saudi_bank_cost_q3_2025",11.54,"percent","RPW Saudi→Nepal Q3 2025 bank avg","2026-06-23"
"saudi_mto_cost_q3_2025",3.35,"percent","RPW Saudi→Nepal Q3 2025 MTO avg","2026-06-23"
"saudi_corridor_avg_q3_2025",5.02,"percent","RPW Saudi→Nepal Q3 2025 all-channel avg","2026-06-23"
"krw_npr_midmarket",0.098563,"NPR per KRW","open.er-api.com","2026-06-23"
"korea_in_rpw",0,"boolean","RPW corridor page empty — confirmed absent","2026-06-23"
