"month","remit_npr_bn","fx_reserve_usd_bn","labor_permits_new"
2011-08-01,10.1,8.28,35892
2011-09-01,14.03,7.92,35109
2011-10-01,14.23,7.73,31547
2011-11-01,16.59,7.79,32124
2011-12-01,5.49,8.33,36204
2012-01-01,12.08,7.55,36157
2012-02-01,10.98,8.39,21012
2012-03-01,15.05,7.75,38911
2012-04-01,5,8.17,35208
2012-05-01,14.97,7.89,31718
2012-06-01,13.62,9.18,31270
2012-07-01,20.49,8.76,36843
2012-08-01,20.51,8.65,42551
2012-09-01,23.11,8.94,39427
2012-10-01,26.32,9.15,33726
2012-11-01,19.72,8.04,32782
2012-12-01,22.42,8.39,32022
2013-01-01,21.33,9.07,39598
2013-02-01,16.05,8.62,34167
2013-03-01,7.34,9.02,38231
2013-04-01,14.17,9.07,38091
2013-05-01,17.95,8.97,31426
2013-06-01,19.55,9.72,38497
2013-07-01,18.51,9.04,34876
2013-08-01,20.7,9.03,35551
2013-09-01,23.53,9.37,41704
2013-10-01,27.32,9.22,34185
2013-11-01,33.59,8.56,45892
2013-12-01,32.2,9.26,36529
2014-01-01,31.9,8.82,38942
2014-02-01,31.68,9.43,39834
2014-03-01,26.32,9.17,39439
2014-04-01,24.06,8.61,36550
2014-05-01,27.7,9.28,42483
2014-06-01,29.58,9.47,48406
2014-07-01,27.58,10.09,40858
2014-08-01,31.54,9.85,36942
2014-09-01,37.83,9.94,41251
2014-10-01,37.58,9.88,40542
2014-11-01,37.22,8.75,46442
2014-12-01,39.52,9.91,38348
2015-01-01,41.79,10.16,41118
2015-02-01,35.47,9.32,46595
2015-03-01,38.68,9.65,43668
2015-04-01,38.57,9.45,47753
2015-05-01,38.46,10.17,36556
2015-06-01,41.77,10.05,40587
2015-07-01,39.59,10.53,40943
2015-08-01,37.46,10.09,43544
2015-09-01,41,10.47,39212
2015-10-01,41.95,10.05,42244
2015-11-01,45.34,10.4,37314
2015-12-01,46.74,9.82,47482
2016-01-01,35.94,9.86,43566
2016-02-01,34.23,10.23,46437
2016-03-01,37.66,10.62,45298
2016-04-01,28.66,10.96,48385
2016-05-01,34.12,10.25,47901
2016-06-01,32.61,10.38,39227
2016-07-01,41.6,10.44,41632
2016-08-01,47.27,11.11,43285
2016-09-01,41.55,11.01,39885
2016-10-01,48.19,10.58,38965
2016-11-01,48.05,10.72,51696
2016-12-01,62.36,11.28,47611
2017-01-01,52.64,11.08,47669
2017-02-01,51.46,11.72,47286
2017-03-01,51.62,10.82,44517
2017-04-01,45.36,10.96,51096
2017-05-01,49.04,10.91,50471
2017-06-01,42.89,11.05,49193
2017-07-01,50.4,11.88,51373
