"quarter","quarter_date","receiving_country","sending_country","amount_usd","total_cost_pct","mto_cost_pct","bank_cost_pct","fee_pct","fx_margin_pct","total_cost_pct_500","num_services","pct_digital"
"2011Q1",2011-01-01,"Bangladesh","Malaysia",200,4.578,3.65,5.042,2.137,2.441,3.267,9,0
"2011Q1",2011-01-01,"Bangladesh","Saudi Arabia",200,4.093,4.24,3.725,2.726,1.367,2.463,7,0
"2011Q1",2011-01-01,"Bangladesh","Singapore",200,2.292,2.618,1.18,1.986,0.306,1.118,13,0
"2011Q1",2011-01-01,"Bangladesh","United Kingdom",200,5.074,5.748,3.05,4.08,0.994,2.926,16,0
"2011Q1",2011-01-01,"India","Canada",200,10.541,10.982,10.187,8.375,2.166,5.661,18,0
"2011Q1",2011-01-01,"India","France",200,7.21,7.21,NA,4.38,2.83,4.63,1,0
"2011Q1",2011-01-01,"India","Germany",200,10.704,7.846,13.037,8.962,1.742,5.742,13,0
"2011Q1",2011-01-01,"India","Italy",200,4.171,4.5,3.185,3.279,0.892,2.942,8,0
"2011Q1",2011-01-01,"India","Japan",200,18.665,9.122,23.437,17.011,1.654,8.767,15,0
"2011Q1",2011-01-01,"India","Qatar",200,5.069,3.764,7.352,3.487,1.582,2.731,11,0
"2011Q1",2011-01-01,"India","Saudi Arabia",200,4.629,4.862,4.045,2.934,1.694,2.869,7,0
"2011Q1",2011-01-01,"India","Singapore",200,8.164,8.263,8.104,5.341,2.823,5.095,8,0
"2011Q1",2011-01-01,"India","United Arab Emirates",200,4.941,3.445,14.67,3.364,1.577,2.867,15,0
"2011Q1",2011-01-01,"India","United Kingdom",200,4.427,6.059,2.386,2.999,1.427,2.809,18,0
"2011Q1",2011-01-01,"India","United States",200,3.45,5.051,1.994,2.565,0.884,2.072,21,0
"2011Q1",2011-01-01,"Nepal","Saudi Arabia",200,3.475,3.688,2.41,2.6,0.875,1.92,6,0
"2011Q1",2011-01-01,"Nepal","United Arab Emirates",200,4.616,4.812,3.15,3.123,1.494,2.745,17,0
"2011Q1",2011-01-01,"Nepal","United Kingdom",200,6.046,7.343,0.86,3.981,2.065,3.491,10,0
"2011Q1",2011-01-01,"Philippines","Canada",200,7.706,7.326,8.847,6.448,1.258,3.94,24,4.2
"2011Q1",2011-01-01,"Philippines","Italy",200,6.214,6.921,5.418,4.786,1.428,3.622,17,0
"2011Q1",2011-01-01,"Philippines","Japan",200,13.75,11.31,16.539,12.158,1.592,6.515,15,0
"2011Q1",2011-01-01,"Philippines","Malaysia",200,4.178,3.007,6.815,2.611,1.568,2.608,13,0
"2011Q1",2011-01-01,"Philippines","Qatar",200,4.781,4.8,4.71,2.1,2.681,3.583,9,0
"2011Q1",2011-01-01,"Philippines","Saudi Arabia",200,4.952,4.858,5.42,4.045,0.907,2.528,6,0
"2011Q1",2011-01-01,"Philippines","Singapore",200,4.277,4.169,4.831,2.601,1.676,2.731,49,0
"2011Q1",2011-01-01,"Philippines","Spain",200,6.64,6.64,NA,4.246,2.394,4.213,7,0
"2011Q1",2011-01-01,"Philippines","United Arab Emirates",200,4.438,4.438,NA,2.992,1.446,2.647,15,0
"2011Q1",2011-01-01,"Philippines","United Kingdom",200,5.807,5.968,4.41,5.868,-0.061,2.877,29,3.4
"2011Q1",2011-01-01,"Philippines","United States",200,6.276,6.536,5.414,5.176,1.1,3.526,51,0
"2011Q3",2011-07-01,"Bangladesh","Malaysia",200,5.943,1.68,7.77,2.512,3.431,4.516,10,0
"2011Q3",2011-07-01,"Bangladesh","Saudi Arabia",200,3.567,3.636,3.395,2.721,0.846,1.937,7,0
"2011Q3",2011-07-01,"Bangladesh","Singapore",200,2.2,2.367,1.6,1.995,0.205,1.011,11,0
"2011Q3",2011-07-01,"Bangladesh","United Kingdom",200,4.147,4.758,2.468,3.972,0.175,2.074,15,0
"2011Q3",2011-07-01,"India","Canada",200,9.663,11.019,8.477,8.049,1.614,4.967,15,0
"2011Q3",2011-07-01,"India","France",200,11.037,8.52,14.095,8.523,2.514,6.236,7,0
"2011Q3",2011-07-01,"India","Germany",200,11.543,8.53,11.925,8.047,3.496,7.031,7,0
"2011Q3",2011-07-01,"India","Italy",200,4.77,5.102,3.94,3.571,1.199,3.27,7,0
"2011Q3",2011-07-01,"India","Japan",200,17.964,9.145,22.374,16.116,1.848,8.491,12,0
"2011Q3",2011-07-01,"India","Qatar",200,4.991,3.979,6.408,3.256,1.735,3.042,12,0
"2011Q3",2011-07-01,"India","Saudi Arabia",200,3.617,3.92,2.86,2.817,0.8,1.931,7,0
"2011Q3",2011-07-01,"India","Singapore",200,3.829,3.99,3.764,2.031,1.797,2.906,7,0
"2011Q3",2011-07-01,"India","United Arab Emirates",200,3.945,2.537,13.1,3.364,0.581,1.929,15,0
"2011Q3",2011-07-01,"India","United Kingdom",200,3.853,4.983,2.44,3.139,0.713,2.152,18,0
"2011Q3",2011-07-01,"India","United States",200,4.583,5.826,2.718,3.075,1.508,3.138,20,0
"2011Q3",2011-07-01,"Nepal","Saudi Arabia",200,3.288,3.242,3.52,2.688,0.6,1.678,6,0
"2011Q3",2011-07-01,"Nepal","United Arab Emirates",200,5.943,5.56,9.2,3.543,2.4,3.794,19,0
"2011Q3",2011-07-01,"Nepal","United Kingdom",200,6.275,7.051,3.17,4.233,2.042,3.396,10,0
"2011Q3",2011-07-01,"Philippines","Canada",200,8.584,8.432,9.013,6.641,1.943,4.703,23,0
"2011Q3",2011-07-01,"Philippines","Italy",200,8.016,7.264,8.768,5.2,2.816,4.946,16,0
"2011Q3",2011-07-01,"Philippines","Japan",200,12.267,9.238,16.594,10.878,1.389,5.983,17,0
"2011Q3",2011-07-01,"Philippines","Malaysia",200,3.794,3.042,6.05,2.464,1.33,2.463,12,0
"2011Q3",2011-07-01,"Philippines","Qatar",200,5.124,4.868,5.73,2.166,2.958,3.884,10,0
"2011Q3",2011-07-01,"Philippines","Saudi Arabia",200,5.7,5.484,6.78,4,1.7,3.307,6,0
"2011Q3",2011-07-01,"Philippines","Singapore",200,3.167,3.191,2.988,2.11,1.057,1.942,43,0
"2011Q3",2011-07-01,"Philippines","Spain",200,7.086,7.086,NA,4.604,2.481,4.514,7,0
"2011Q3",2011-07-01,"Philippines","United Arab Emirates",200,2.998,2.998,NA,2.223,0.775,1.666,15,0
"2011Q3",2011-07-01,"Philippines","United Kingdom",200,6.057,6.152,4.88,5.823,0.234,2.684,27,0
"2011Q3",2011-07-01,"Philippines","United States",200,6.97,6.903,7.758,5.45,1.52,4.2,30,0
"2012Q1",2012-01-01,"Bangladesh","Malaysia",200,6.301,1.883,9.615,2.623,3.679,4.723,7,0
"2012Q1",2012-01-01,"Bangladesh","Saudi Arabia",200,4.437,4.392,4.55,2.611,1.826,2.876,7,0
"2012Q1",2012-01-01,"Bangladesh","Singapore",200,2.331,2.451,1.91,1.966,0.366,1.156,9,0
"2012Q1",2012-01-01,"Bangladesh","United Kingdom",200,4.709,5.193,3.138,3.764,0.946,3.029,17,0
"2012Q1",2012-01-01,"India","Australia",200,9.92,6.656,12.639,7.558,2.362,5.385,22,0
"2012Q1",2012-01-01,"India","Canada",200,9.825,10.67,8.86,8.149,1.676,4.963,15,0
"2012Q1",2012-01-01,"India","France",200,8.956,8.15,7.74,6.384,2.572,6.03,8,0
"2012Q1",2012-01-01,"India","Germany",200,11.517,8.422,12.82,8.012,3.505,6.828,6,0
"2012Q1",2012-01-01,"India","Italy",200,4.796,5.346,3.42,3.623,1.173,3.306,7,0
"2012Q1",2012-01-01,"India","Japan",200,16.206,12.697,18.311,14.221,1.984,7.833,16,0
"2012Q1",2012-01-01,"India","Qatar",200,4.968,3.981,6.546,3.078,1.89,3.132,13,0
"2012Q1",2012-01-01,"India","Saudi Arabia",200,4.9,5.552,3.27,2.817,2.083,3.21,7,0
"2012Q1",2012-01-01,"India","Singapore",200,3.915,3.95,3.898,2.18,1.735,2.767,6,0
"2012Q1",2012-01-01,"India","United Arab Emirates",200,4.854,3.161,12.753,3.608,1.246,2.689,17,0
"2012Q1",2012-01-01,"India","United Kingdom",200,5.15,5.715,4.301,3.826,1.324,3.036,20,0
"2012Q1",2012-01-01,"India","United States",200,5.266,6.204,3.659,3.709,1.557,3.367,19,0
"2012Q1",2012-01-01,"Nepal","Saudi Arabia",200,3.945,4.026,3.54,2.688,1.257,2.335,6,0
"2012Q1",2012-01-01,"Nepal","United Arab Emirates",200,5.231,4.982,7.35,3.723,1.508,2.998,19,0
"2012Q1",2012-01-01,"Nepal","United Kingdom",200,5.223,6.212,0.28,3.702,1.522,2.768,12,0
"2012Q1",2012-01-01,"Philippines","Australia",200,9.519,6.565,18.382,7.281,2.238,5.2,32,0
"2012Q1",2012-01-01,"Philippines","Canada",200,7.389,6.981,8.613,6.802,0.588,3.45,24,0
