fiscal_year,months_of_data,report_url
2011/12,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2011-09-text-based-on-first-four-month-data-of-2011-12/
2017/18,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2017-18/
2017/18,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2017-18/
2017/18,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2017-18/
2017/18,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2017-18/
2017/18,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2017-18/
2017/18,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2017-18/
2017/18,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2017-18/
2018/19,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2018-19/
2018/19,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-months-data-of-2018-19/
2018/19,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-months-data-of-2018-19/
2018/19,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2018-19/
2018/19,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2018-19/
2018/19,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2018-19/
2018/19,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2018-19/
2018/19,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2018-19/
2018/19,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2018-19/
2018/19,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2018-19/
2018/19,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2018-19/
2018/19,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2018-19/
2019/20,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2019-20/
2019/20,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-month-data-of-2019-20/
2019/20,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-month-data-of-2019-20/
2019/20,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-month-data-of-2019-20/
2019/20,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2019-20/
2019/20,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2019-20/
2019/20,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2019-20/
2019/20,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2019-20/
2019/20,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2019-20/
2019/20,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2019-20/
2019/20,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2019-20-2/
2019/20,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2019-20/
2019/20,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2019-20/
2020/21,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2020-21/
2020/21,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-months-data-of-2020-21/
2020/21,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2020-21/
2020/21,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2020-21/
2020/21,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2020-21/
2020/21,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2020-21/
2020/21,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2020-21/
2020/21,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2020-21/
2021/22,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2021-22/
2021/22,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-months-data-of-2021-22/
2021/22,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-months-data-of-2021-22/
2021/22,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2021-22/
2021/22,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2021-22/
2021/22,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2021-22/
2021/22,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2021-22/
2021/22,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2021-22/
2021/22,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2021-22/
2021/22,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2021-22/
2021/22,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2021-22/
2022/23,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2022-23/
2022/23,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-months-data-of-2022-23/
2022/23,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-months-data-of-2022-23/
2022/23,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2022-23/
2022/23,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2022-23/
2022/23,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2022-23/
2022/23,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2022-23/
2022/23,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2022-23/
2022/23,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2022-23/
2022/23,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2022-23/
2022/23,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2022-23/
2022/23,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2022-23/
2023/24,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2023-24/
2023/24,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-month-data-of-2023-24/
2023/24,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-months-data-of-2023-24/
2023/24,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2023-24/
2023/24,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2023-24/
2023/24,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2023-24/
2023/24,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2023-24/
2023/24,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2023-24/
2023/24,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2023-24/
2023/24,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2023-24/
2023/24,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2023-24/
2024/25,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2024-25/
2024/25,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-month-data-of-2024-25/
2024/25,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-month-data-of-2024-25/
2024/25,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2024-25/
2024/25,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2024-25/
2024/25,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2024-25/
2024/25,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2024-25/
2024/25,8,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eight-months-data-of-2024-25/
2024/25,9,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-nine-months-data-of-2024-25/
2024/25,10,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-ten-months-data-of-2024-25/
2024/25,11,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-eleven-months-data-of-2024-25/
2024/25,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2024-25/
2025/26,1,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-one-month-data-of-2025-26/
2025/26,2,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-two-months-data-of-2025-26/
2025/26,3,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-three-months-data-of-2025-26/
2025/26,4,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-four-months-data-of-2025-26/
2025/26,5,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-five-months-data-of-2025-26/
2025/26,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2025-26/
2025/26,7,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-seven-months-data-of-2025-26/
